Mandi_ID,Commodity_ID,Arrival_Date_ID,Modal_Price,Arrival_Volume_Qty,Crop_ID,Total_Input_Cost,Profit,Min_Price,Max_Price,Price_Range,Avg_Price,Demand_Index,Supply_Index,Volatility,Price_Trend,Season,Profit_Margin,Price_per_Unit
39,20,2025-03-05,2638,19293,20,3602,-964,2374.2000000000003,2901.8,527.5999999999999,2638,19.293,19.293,0.2,Stable,Kharif,-964,2638
52,16,2025-12-12,4752,13108,16,3269,1483,4276.8,5227.200000000001,950.4000000000005,4752,13.108,13.108,0.2,Stable,Kharif,1483,4752
29,3,2025-04-01,4292,14908,3,4301,-9,3862.8,4721.200000000001,858.4000000000005,4292,14.908,14.908,0.2,Stable,Kharif,-9,4292
15,17,2025-09-07,1356,5444,17,2601,-1245,1220.4,1491.6000000000001,271.20000000000005,1356,5.444,5.444,0.2,Stable,Kharif,-1245,1356
43,5,2025-07-02,1813,14293,5,3337,-1524,1631.7,1994.3000000000002,362.60000000000014,1813,14.293000000000001,14.293000000000001,0.2,Stable,Kharif,-1524,1813
8,8,2025-10-29,3108,4851,8,3868,-760,2797.2000000000003,3418.8,621.5999999999999,3108,4.851,4.851,0.2,Stable,Kharif,-760,3108
21,12,2025-12-17,2981,5934,12,2542,439,2682.9,3279.1000000000004,596.2000000000003,2981,5.934,5.934,0.2,Stable,Kharif,439,2981
39,12,2025-10-07,2475,10901,12,2542,-67,2227.5,2722.5,495.0,2475,10.901,10.901,0.2,Stable,Kharif,-67,2475
19,1,2025-07-24,1466,11032,1,3410,-1944,1319.4,1612.6000000000001,293.20000000000005,1466,11.032,11.032,0.2,Stable,Kharif,-1944,1466
23,1,2025-03-30,2058,17045,1,3410,-1352,1852.2,2263.8,411.60000000000014,2058,17.045,17.045,0.2,Stable,Kharif,-1352,2058
11,15,2025-10-20,1816,4512,15,4991,-3175,1634.4,1997.6000000000001,363.20000000000005,1816,4.5120000000000005,4.5120000000000005,0.2,Stable,Kharif,-3175,1816
11,17,2025-10-12,3004,15704,17,2601,403,2703.6,3304.4,600.8000000000002,3004,15.704,15.704,0.2,Stable,Kharif,403,3004
24,2,2025-06-08,2782,3714,2,2668,114,2503.8,3060.2000000000003,556.4000000000001,2782,3.714,3.714,0.2,Stable,Kharif,114,2782
53,17,2025-12-29,4218,12801,17,2601,1617,3796.2000000000003,4639.8,843.5999999999999,4218,12.801,12.801,0.2,Stable,Kharif,1617,4218
36,20,2025-05-10,4687,16735,20,3602,1085,4218.3,5155.700000000001,937.4000000000005,4687,16.735,16.735,0.2,Stable,Kharif,1085,4687
40,9,2025-09-05,2911,10325,9,4097,-1186,2619.9,3202.1000000000004,582.2000000000003,2911,10.325000000000001,10.325000000000001,0.2,Stable,Kharif,-1186,2911
24,12,2025-05-20,4342,17454,12,2542,1800,3907.8,4776.200000000001,868.4000000000005,4342,17.454,17.454,0.2,Stable,Kharif,1800,4342
3,4,2025-07-08,1856,16039,4,3845,-1989,1670.4,2041.6000000000001,371.20000000000005,1856,16.039,16.039,0.2,Stable,Kharif,-1989,1856
22,13,2025-04-01,3836,14270,13,4374,-538,3452.4,4219.6,767.2000000000003,3836,14.27,14.27,0.2,Stable,Kharif,-538,3836
53,4,2025-02-25,3023,4395,4,3845,-822,2720.7000000000003,3325.3,604.5999999999999,3023,4.3950000000000005,4.3950000000000005,0.2,Stable,Kharif,-822,3023
2,7,2025-08-14,1933,14456,7,2117,-184,1739.7,2126.3,386.60000000000014,1933,14.456,14.456,0.2,Stable,Kharif,-184,1933
24,14,2025-11-30,2397,9477,14,3526,-1129,2157.3,2636.7000000000003,479.4000000000001,2397,9.477,9.477,0.2,Stable,Kharif,-1129,2397
44,9,2025-11-23,2968,12620,9,4097,-1129,2671.2000000000003,3264.8,593.5999999999999,2968,12.620000000000001,12.620000000000001,0.2,Stable,Kharif,-1129,2968
30,1,2025-06-14,1661,1322,1,3410,-1749,1494.9,1827.1000000000001,332.20000000000005,1661,1.322,1.322,0.2,Stable,Kharif,-1749,1661
38,1,2025-02-05,2137,7126,1,3410,-1273,1923.3,2350.7000000000003,427.4000000000003,2137,7.126,7.126,0.2,Stable,Kharif,-1273,2137
2,20,2025-11-26,2761,7562,20,3602,-841,2484.9,3037.1000000000004,552.2000000000003,2761,7.562,7.562,0.2,Stable,Kharif,-841,2761
21,4,2025-01-29,4197,3233,4,3845,352,3777.3,4616.700000000001,839.4000000000005,4197,3.233,3.233,0.2,Stable,Kharif,352,4197
33,1,2025-03-21,2862,13309,1,3410,-548,2575.8,3148.2000000000003,572.4000000000001,2862,13.309000000000001,13.309000000000001,0.2,Stable,Kharif,-548,2862
12,10,2025-12-24,2780,11847,10,3813,-1033,2502.0,3058.0000000000005,556.0000000000005,2780,11.847,11.847,0.2,Stable,Kharif,-1033,2780
22,2,2025-06-18,1792,5672,2,2668,-876,1612.8,1971.2000000000003,358.4000000000003,1792,5.672,5.672,0.2,Stable,Kharif,-876,1792
44,15,2025-02-02,3600,10001,15,4991,-1391,3240.0,3960.0000000000005,720.0000000000005,3600,10.001,10.001,0.2,Stable,Kharif,-1391,3600
25,3,2025-04-03,5347,18768,3,4301,1046,4812.3,5881.700000000001,1069.4000000000005,5347,18.768,18.768,0.2,Stable,Kharif,1046,5347
49,9,2025-04-22,4446,12842,9,4097,349,4001.4,4890.6,889.2000000000003,4446,12.842,12.842,0.2,Stable,Kharif,349,4446
27,17,2025-07-28,2642,11495,17,2601,41,2377.8,2906.2000000000003,528.4000000000001,2642,11.495000000000001,11.495000000000001,0.2,Stable,Kharif,41,2642
42,13,2025-07-13,2536,5640,13,4374,-1838,2282.4,2789.6000000000004,507.2000000000003,2536,5.64,5.64,0.2,Stable,Kharif,-1838,2536
28,3,2025-09-21,2501,15610,3,4301,-1800,2250.9,2751.1000000000004,500.2000000000003,2501,15.610000000000001,15.610000000000001,0.2,Stable,Kharif,-1800,2501
16,4,2025-09-04,2001,7967,4,3845,-1844,1800.9,2201.1000000000004,400.2000000000003,2001,7.9670000000000005,7.9670000000000005,0.2,Stable,Kharif,-1844,2001
15,4,2025-04-28,5865,13623,4,3845,2020,5278.5,6451.500000000001,1173.000000000001,5865,13.623000000000001,13.623000000000001,0.2,Stable,Kharif,2020,5865
47,11,2025-08-16,1773,7002,11,3587,-1814,1595.7,1950.3000000000002,354.60000000000014,1773,7.002,7.002,0.2,Stable,Kharif,-1814,1773
51,7,2025-01-09,2595,8834,7,2117,478,2335.5,2854.5000000000005,519.0000000000005,2595,8.834,8.834,0.2,Stable,Kharif,478,2595
44,11,2025-07-18,3247,5205,11,3587,-340,2922.3,3571.7000000000003,649.4000000000001,3247,5.205,5.205,0.2,Stable,Kharif,-340,3247
52,11,2025-10-04,1226,7669,11,3587,-2361,1103.4,1348.6000000000001,245.20000000000005,1226,7.6690000000000005,7.6690000000000005,0.2,Stable,Kharif,-2361,1226
3,10,2025-05-09,5428,13144,10,3813,1615,4885.2,5970.8,1085.6000000000004,5428,13.144,13.144,0.2,Stable,Kharif,1615,5428
37,5,2025-10-29,2543,17526,5,3337,-794,2288.7000000000003,2797.3,508.5999999999999,2543,17.526,17.526,0.2,Stable,Kharif,-794,2543
51,13,2025-03-03,2130,8355,13,4374,-2244,1917.0,2343.0,426.0,2130,8.355,8.355,0.2,Stable,Kharif,-2244,2130
7,12,2025-01-02,4686,19383,12,2542,2144,4217.400000000001,5154.6,937.1999999999998,4686,19.383,19.383,0.2,Stable,Kharif,2144,4686
21,10,2025-12-26,3546,4642,10,3813,-267,3191.4,3900.6000000000004,709.2000000000003,3546,4.642,4.642,0.2,Stable,Kharif,-267,3546
9,7,2025-11-27,4332,1367,7,2117,2215,3898.8,4765.200000000001,866.4000000000005,4332,1.367,1.367,0.2,Stable,Kharif,2215,4332
39,19,2025-12-23,3220,18446,19,2387,833,2898.0,3542.0000000000005,644.0000000000005,3220,18.446,18.446,0.2,Stable,Kharif,833,3220
18,19,2025-06-21,1936,3447,19,2387,-451,1742.4,2129.6000000000004,387.2000000000003,1936,3.447,3.447,0.2,Stable,Kharif,-451,1936
4,19,2025-09-02,2498,11590,19,2387,111,2248.2000000000003,2747.8,499.5999999999999,2498,11.59,11.59,0.2,Stable,Kharif,111,2498
25,12,2025-03-29,3091,3239,12,2542,549,2781.9,3400.1000000000004,618.2000000000003,3091,3.239,3.239,0.2,Stable,Kharif,549,3091
14,20,2025-03-24,2232,5536,20,3602,-1370,2008.8,2455.2000000000003,446.4000000000003,2232,5.5360000000000005,5.5360000000000005,0.2,Stable,Kharif,-1370,2232
50,15,2025-01-05,4658,10278,15,4991,-333,4192.2,5123.8,931.6000000000004,4658,10.278,10.278,0.2,Stable,Kharif,-333,4658
9,5,2025-12-15,2221,17412,5,3337,-1116,1998.9,2443.1000000000004,444.2000000000003,2221,17.412,17.412,0.2,Stable,Kharif,-1116,2221
26,14,2025-02-08,2452,3850,14,3526,-1074,2206.8,2697.2000000000003,490.4000000000001,2452,3.85,3.85,0.2,Stable,Kharif,-1074,2452
53,12,2025-11-18,3659,15007,12,2542,1117,3293.1,4024.9000000000005,731.8000000000006,3659,15.007,15.007,0.2,Stable,Kharif,1117,3659
2,11,2025-10-28,1503,10111,11,3587,-2084,1352.7,1653.3000000000002,300.60000000000014,1503,10.111,10.111,0.2,Stable,Kharif,-2084,1503
20,5,2025-03-16,2935,5161,5,3337,-402,2641.5,3228.5000000000005,587.0000000000005,2935,5.1610000000000005,5.1610000000000005,0.2,Stable,Kharif,-402,2935
28,16,2025-04-11,4637,9216,16,3269,1368,4173.3,5100.700000000001,927.4000000000005,4637,9.216000000000001,9.216000000000001,0.2,Stable,Kharif,1368,4637
47,18,2025-05-21,6471,12477,18,4149,2322,5823.900000000001,7118.1,1294.1999999999998,6471,12.477,12.477,0.2,Stable,Kharif,2322,6471
7,12,2025-04-03,4343,9655,12,2542,1801,3908.7000000000003,4777.3,868.5999999999999,4343,9.655,9.655,0.2,Stable,Kharif,1801,4343
44,5,2025-04-29,5311,14138,5,3337,1974,4779.900000000001,5842.1,1062.1999999999998,5311,14.138,14.138,0.2,Stable,Kharif,1974,5311
8,16,2025-10-15,1564,7401,16,3269,-1705,1407.6000000000001,1720.4,312.79999999999995,1564,7.401,7.401,0.2,Stable,Kharif,-1705,1564
47,12,2025-04-19,4412,2263,12,2542,1870,3970.8,4853.200000000001,882.4000000000005,4412,2.263,2.263,0.2,Stable,Kharif,1870,4412
35,2,2025-02-12,4789,13881,2,2668,2121,4310.1,5267.900000000001,957.8000000000002,4789,13.881,13.881,0.2,Stable,Kharif,2121,4789
14,6,2025-05-16,4250,17380,6,3324,926,3825.0,4675.0,850.0,4250,17.38,17.38,0.2,Stable,Kharif,926,4250
